modelo,question_type,rate,n
deepseek:6.7b,frank,0.0,1
deepseek:6.7b,from,1.0,1
deepseek:6.7b,gabriel,0.0,1
deepseek:6.7b,gangwon,0.0,1
deepseek:6.7b,garth,0.0,1
deepseek:6.7b,george,0.3333333333333333,3
deepseek:6.7b,girard,0.0,1
deepseek:6.7b,glyptotermes,0.0,1
deepseek:6.7b,good,0.0,1
deepseek:6.7b,guiping,1.0,1
deepseek:6.7b,gândul,1.0,1
deepseek:6.7b,hank,0.0,1
deepseek:6.7b,has,1.0,1
deepseek:6.7b,have,0.0,1
deepseek:6.7b,he,1.0,1
deepseek:6.7b,heaven,0.0,1
deepseek:6.7b,henry,0.0,1
deepseek:6.7b,hiroaki,0.0,1
deepseek:6.7b,hiwassee,0.0,1
deepseek:6.7b,ho,0.0,1
deepseek:6.7b,hoosier,0.0,1
deepseek:6.7b,how,0.18181818181818182,11
deepseek:6.7b,hsieh,0.0,1
deepseek:6.7b,i,0.0,1
deepseek:6.7b,ican,0.0,1
deepseek:6.7b,in,0.2619047619047619,42
deepseek:6.7b,innervision,0.0,1
deepseek:6.7b,interstate,1.0,1
deepseek:6.7b,iqaluit,0.0,1
deepseek:6.7b,it,0.0,1
deepseek:6.7b,james,0.4,5
deepseek:6.7b,jamesy,1.0,1
deepseek:6.7b,jane,0.0,1
deepseek:6.7b,jason,1.0,1
deepseek:6.7b,javier,1.0,1
deepseek:6.7b,jeremy,1.0,1
deepseek:6.7b,jill,0.0,1
deepseek:6.7b,jo,0.0,1
deepseek:6.7b,joey,0.0,1
deepseek:6.7b,john,0.0,2
deepseek:6.7b,joie,1.0,1
deepseek:6.7b,jordan,0.0,1
deepseek:6.7b,josephine,1.0,1
deepseek:6.7b,josh,0.0,1
deepseek:6.7b,joyner,0.0,1
deepseek:6.7b,kellas,0.0,1
deepseek:6.7b,ken,0.0,1
deepseek:6.7b,kevin,0.0,1
deepseek:6.7b,kim,0.0,1
deepseek:6.7b,knocked,0.0,1
deepseek:6.7b,kompania,1.0,1
deepseek:6.7b,kooikers,0.0,1
deepseek:6.7b,kristin,0.0,1
deepseek:6.7b,la,1.0,1
deepseek:6.7b,lambic,0.0,1
deepseek:6.7b,lechenaultia,0.0,1
deepseek:6.7b,lee,1.0,1
deepseek:6.7b,legend,1.0,1
deepseek:6.7b,leigh,0.0,1
deepseek:6.7b,lemon,1.0,1
deepseek:6.7b,lenny,0.0,1
deepseek:6.7b,lewis,0.0,1
deepseek:6.7b,life,1.0,1
deepseek:6.7b,louis,0.0,1
deepseek:6.7b,love,1.0,1
deepseek:6.7b,ludwig,1.0,1
deepseek:6.7b,luke,1.0,1
deepseek:6.7b,madge,0.0,1
deepseek:6.7b,marion,0.0,1
deepseek:6.7b,mark,1.0,2
deepseek:6.7b,max,1.0,1
deepseek:6.7b,merimbula,0.0,1
deepseek:6.7b,metro,0.0,1
deepseek:6.7b,mfon,1.0,1
deepseek:6.7b,michael,0.0,1
deepseek:6.7b,millet,0.0,1
deepseek:6.7b,mills,0.0,1
deepseek:6.7b,miracle,0.0,1
deepseek:6.7b,mobile,0.0,1
deepseek:6.7b,modern,0.0,1
deepseek:6.7b,monsters,0.0,1
deepseek:6.7b,mr,0.0,1
deepseek:6.7b,márcio,0.0,1
deepseek:6.7b,naked,0.0,1
deepseek:6.7b,navarone,0.0,1
deepseek:6.7b,new,0.0,1
deepseek:6.7b,no,0.0,1
deepseek:6.7b,nobody,1.0,1
deepseek:6.7b,on,0.16666666666666666,6
deepseek:6.7b,one,1.0,1
deepseek:6.7b,operation,0.0,1
deepseek:6.7b,orden,1.0,1
deepseek:6.7b,other,0.2396551724137931,580
deepseek:6.7b,otto,0.0,1
deepseek:6.7b,oumar,0.0,1
deepseek:6.7b,patrick,1.0,1
deepseek:6.7b,pay,0.0,1
deepseek:6.7b,pink,0.0,1
deepseek:6.7b,plastic,1.0,1
deepseek:6.7b,premise,0.6829268292682927,82
deepseek:6.7b,princess,0.0,1
deepseek:6.7b,q,0.0,1
deepseek:6.7b,qwirkle,0.0,1
deepseek:6.7b,radical,1.0,1
deepseek:6.7b,rana,1.0,1
deepseek:6.7b,rebecca,0.0,1
deepseek:6.7b,reggio,0.0,1
deepseek:6.7b,removed,0.0,1
deepseek:6.7b,renée,1.0,1
deepseek:6.7b,reuben,1.0,1
deepseek:6.7b,richard,1.0,1
deepseek:6.7b,robert,0.0,1
deepseek:6.7b,robinson,1.0,1
deepseek:6.7b,roger,1.0,1
deepseek:6.7b,roy,1.0,1
deepseek:6.7b,rudolf,1.0,1
deepseek:6.7b,rugby,1.0,1
deepseek:6.7b,río,0.0,1
deepseek:6.7b,saint,1.0,1
deepseek:6.7b,sam,0.0,1
deepseek:6.7b,segugio,1.0,1
deepseek:6.7b,serving,0.0,1
deepseek:6.7b,shadow,1.0,1
deepseek:6.7b,shannon,1.0,1
deepseek:6.7b,she,0.0,1
deepseek:6.7b,shelley,0.0,1
deepseek:6.7b,shin,1.0,1
deepseek:6.7b,shirley,0.0,2
deepseek:6.7b,sidney,1.0,1
deepseek:6.7b,skagboys,1.0,1
deepseek:6.7b,skin,1.0,1
deepseek:6.7b,south,0.0,1
deepseek:6.7b,southwest,0.0,1
deepseek:6.7b,spaceballs,1.0,1
deepseek:6.7b,splendor,0.0,1
deepseek:6.7b,ss,0.0,1
deepseek:6.7b,stagger,1.0,1
deepseek:6.7b,stephen,1.0,1
deepseek:6.7b,steve,0.0,1
deepseek:6.7b,still,0.0,1
deepseek:6.7b,stomp,1.0,1
deepseek:6.7b,stratford,0.0,1
deepseek:6.7b,style,0.0,1
deepseek:6.7b,sugoroku,0.0,1
deepseek:6.7b,susan,1.0,1
deepseek:6.7b,tammy,1.0,1
deepseek:6.7b,tess,0.0,1
deepseek:6.7b,the,0.30666666666666664,75
deepseek:6.7b,this,0.2857142857142857,7
deepseek:6.7b,thoroughbred,1.0,1
deepseek:6.7b,though,0.0,1
deepseek:6.7b,timber,1.0,1
deepseek:6.7b,titan,0.0,1
deepseek:6.7b,to,0.0,2
deepseek:6.7b,tome,0.0,1
deepseek:6.7b,tooheys,0.0,1
deepseek:6.7b,toryboy,0.0,1
deepseek:6.7b,tressie,0.0,1
deepseek:6.7b,trim,0.0,1
deepseek:6.7b,uli,0.0,1
deepseek:6.7b,universal,0.0,1
deepseek:6.7b,untamed,0.0,1
deepseek:6.7b,van,1.0,1
deepseek:6.7b,w,0.0,1
deepseek:6.7b,wait,0.0,1
deepseek:6.7b,was,0.0,3
deepseek:6.7b,watchers,0.0,1
deepseek:6.7b,were,0.25,4
deepseek:6.7b,weremaurice,0.0,1
deepseek:6.7b,what,0.3384615384615385,195
deepseek:6.7b,wheatley,0.0,1
deepseek:6.7b,when,0.25806451612903225,31
deepseek:6.7b,where,0.3125,16
deepseek:6.7b,which,0.24545454545454545,110
deepseek:6.7b,while,0.0,1
deepseek:6.7b,whitney,0.0,1
deepseek:6.7b,who,0.3333333333333333,69
deepseek:6.7b,whose,1.0,1
deepseek:6.7b,wolfgang,0.0,1
deepseek:6.7b,worker,0.5,2
deepseek:6.7b,xiaogan,0.0,1
deepseek:6.7b,yes/no,0.25,8
deepseek:6.7b,yoo,0.0,1
deepseek:6.7b,zombie,1.0,1
deepseek:6.7b,,0.4782608695652174,23
gemma3:4b,a,0.5,2
gemma3:4b,abraham,0.0,1
gemma3:4b,according,1.0,1
gemma3:4b,after,1.0,1
gemma3:4b,air,1.0,1
gemma3:4b,akira,0.0,1
gemma3:4b,albert,0.0,1
gemma3:4b,although,0.0,1
gemma3:4b,andrew,1.0,1
gemma3:4b,angel,0.0,1
gemma3:4b,anthony,1.0,1
gemma3:4b,are,0.13333333333333333,45
gemma3:4b,arthur,1.0,1
gemma3:4b,at,0.5,2
gemma3:4b,ave,0.0,1
gemma3:4b,b,1.0,1
gemma3:4b,bayer,0.0,1
gemma3:4b,before,0.0,1
gemma3:4b,between,0.0,1
gemma3:4b,billings,0.0,1
gemma3:4b,black,0.0,1
gemma3:4b,borovička,0.0,1
gemma3:4b,both,0.0,2
gemma3:4b,bret,0.0,1
gemma3:4b,buck,0.0,1
gemma3:4b,by,0.0,1
gemma3:4b,campari,1.0,1
gemma3:4b,can,1.0,1
gemma3:4b,carpo,1.0,1
gemma3:4b,celebration,0.0,1
gemma3:4b,chas,1.0,1
gemma3:4b,chibuku,0.0,1
gemma3:4b,chocolate,0.0,1
gemma3:4b,chris,0.0,1
gemma3:4b,christmas,0.0,1
gemma3:4b,christopher,0.0,1
gemma3:4b,cinergi,1.0,1
gemma3:4b,clic,0.0,1
gemma3:4b,clive,0.0,1
gemma3:4b,cohousing,0.0,1
gemma3:4b,cole,1.0,1
gemma3:4b,consider,1.0,1
gemma3:4b,cyrcle,0.0,1
gemma3:4b,da,0.0,1
gemma3:4b,dan,0.0,1
gemma3:4b,daniel,0.0,1
gemma3:4b,danish,0.0,1
gemma3:4b,darla,1.0,1
gemma3:4b,darth,0.0,1
gemma3:4b,david,0.0,2
gemma3:4b,deborah,1.0,1
gemma3:4b,debra,0.0,1
gemma3:4b,der,0.5,2
gemma3:4b,destiny,0.0,1
gemma3:4b,did,0.5,2
gemma3:4b,die,0.0,1
gemma3:4b,do,0.25,4
gemma3:4b,does,0.0,1
gemma3:4b,don,1.0,1
gemma3:4b,donald,1.0,1
gemma3:4b,dongxing,0.0,1
gemma3:4b,donna,1.0,1
gemma3:4b,dua,0.0,1
gemma3:4b,during,0.5,2
gemma3:4b,edward,0.0,1
gemma3:4b,eric,0.0,1
gemma3:4b,ethan,0.0,1
gemma3:4b,ettore,0.0,1
gemma3:4b,euxoamorpha,1.0,1
gemma3:4b,filip,1.0,1
gemma3:4b,film,0.0,1
gemma3:4b,for,0.6666666666666666,3
gemma3:4b,former,0.0,1
gemma3:4b,francesco,0.0,1
gemma3:4b,frank,0.0,1
gemma3:4b,from,1.0,1
gemma3:4b,gabriel,0.0,1
gemma3:4b,gangwon,0.0,1
gemma3:4b,garth,0.0,1
gemma3:4b,george,0.3333333333333333,3
gemma3:4b,girard,1.0,1
gemma3:4b,glyptotermes,0.0,1
gemma3:4b,good,0.0,1
gemma3:4b,guiping,0.0,1
gemma3:4b,gândul,0.0,1
gemma3:4b,hank,1.0,1
gemma3:4b,has,1.0,1
gemma3:4b,have,1.0,1
gemma3:4b,he,0.0,1
gemma3:4b,heaven,1.0,1
gemma3:4b,henry,0.0,1
gemma3:4b,hiroaki,0.0,1
gemma3:4b,hiwassee,1.0,1
gemma3:4b,ho,0.0,1
gemma3:4b,hoosier,0.0,1
gemma3:4b,how,0.8181818181818182,11
gemma3:4b,hsieh,0.0,1
gemma3:4b,i,0.0,1
gemma3:4b,ican,0.0,1
gemma3:4b,in,0.5,42
gemma3:4b,innervision,0.0,1
gemma3:4b,interstate,0.0,1
gemma3:4b,iqaluit,0.0,1
gemma3:4b,it,0.0,1
gemma3:4b,james,0.4,5
gemma3:4b,jamesy,1.0,1
gemma3:4b,jane,0.0,1
gemma3:4b,jason,0.0,1
gemma3:4b,javier,0.0,1
gemma3:4b,jeremy,0.0,1
gemma3:4b,jill,0.0,1
gemma3:4b,jo,0.0,1
gemma3:4b,joey,1.0,1
gemma3:4b,john,0.0,2
gemma3:4b,joie,0.0,1
gemma3:4b,jordan,1.0,1
gemma3:4b,josephine,0.0,1
gemma3:4b,josh,1.0,1
gemma3:4b,joyner,1.0,1
gemma3:4b,kellas,1.0,1
gemma3:4b,ken,1.0,1
gemma3:4b,kevin,1.0,1
gemma3:4b,kim,0.0,1
gemma3:4b,knocked,0.0,1
gemma3:4b,kompania,0.0,1
gemma3:4b,kooikers,0.0,1
gemma3:4b,kristin,0.0,1
gemma3:4b,la,1.0,1
gemma3:4b,lambic,0.0,1
gemma3:4b,lechenaultia,0.0,1
gemma3:4b,lee,1.0,1
gemma3:4b,legend,1.0,1
gemma3:4b,leigh,1.0,1
gemma3:4b,lemon,0.0,1
gemma3:4b,lenny,1.0,1
gemma3:4b,lewis,1.0,1
gemma3:4b,life,0.0,1
gemma3:4b,louis,0.0,1
gemma3:4b,love,0.0,1
gemma3:4b,ludwig,0.0,1
gemma3:4b,luke,1.0,1
gemma3:4b,madge,0.0,1
gemma3:4b,marion,0.0,1
gemma3:4b,mark,0.5,2
gemma3:4b,max,0.0,1
gemma3:4b,merimbula,1.0,1
gemma3:4b,metro,0.0,1
gemma3:4b,mfon,1.0,1
gemma3:4b,michael,0.0,1
gemma3:4b,millet,0.0,1
gemma3:4b,mills,0.0,1
gemma3:4b,miracle,1.0,1
gemma3:4b,mobile,0.0,1
gemma3:4b,modern,1.0,1
gemma3:4b,monsters,1.0,1
gemma3:4b,mr,1.0,1
gemma3:4b,márcio,1.0,1
gemma3:4b,naked,0.0,1
gemma3:4b,navarone,0.0,1
gemma3:4b,new,0.0,1
gemma3:4b,no,0.0,1
gemma3:4b,nobody,0.0,1
gemma3:4b,on,0.5,6
gemma3:4b,one,1.0,1
gemma3:4b,operation,0.0,1
gemma3:4b,orden,0.0,1
gemma3:4b,other,0.6586206896551724,580
gemma3:4b,otto,0.0,1
gemma3:4b,oumar,0.0,1
gemma3:4b,patrick,0.0,1
gemma3:4b,pay,0.0,1
gemma3:4b,pink,0.0,1
gemma3:4b,plastic,1.0,1
gemma3:4b,premise,0.10975609756097561,82
gemma3:4b,princess,1.0,1
gemma3:4b,q,0.0,1
gemma3:4b,qwirkle,0.0,1
gemma3:4b,radical,0.0,1
gemma3:4b,rana,1.0,1
gemma3:4b,rebecca,0.0,1
gemma3:4b,reggio,0.0,1
gemma3:4b,removed,0.0,1
gemma3:4b,renée,0.0,1
gemma3:4b,reuben,1.0,1
gemma3:4b,richard,1.0,1
gemma3:4b,robert,1.0,1
gemma3:4b,robinson,0.0,1
gemma3:4b,roger,0.0,1
gemma3:4b,roy,1.0,1
gemma3:4b,rudolf,1.0,1
gemma3:4b,rugby,0.0,1
gemma3:4b,río,1.0,1
gemma3:4b,saint,0.0,1
gemma3:4b,sam,0.0,1
gemma3:4b,segugio,0.0,1
gemma3:4b,serving,0.0,1
gemma3:4b,shadow,0.0,1
gemma3:4b,shannon,1.0,1
gemma3:4b,she,1.0,1
gemma3:4b,shelley,1.0,1
gemma3:4b,shin,0.0,1
gemma3:4b,shirley,0.5,2
gemma3:4b,sidney,0.0,1
gemma3:4b,skagboys,1.0,1
gemma3:4b,skin,1.0,1
gemma3:4b,south,0.0,1
gemma3:4b,southwest,0.0,1
gemma3:4b,spaceballs,1.0,1
gemma3:4b,splendor,0.0,1
gemma3:4b,ss,0.0,1
gemma3:4b,stagger,0.0,1
gemma3:4b,stephen,0.0,1
gemma3:4b,steve,0.0,1
gemma3:4b,still,0.0,1
gemma3:4b,stomp,0.0,1
gemma3:4b,stratford,0.0,1
gemma3:4b,style,1.0,1
gemma3:4b,sugoroku,0.0,1
gemma3:4b,susan,0.0,1
gemma3:4b,tammy,0.0,1
gemma3:4b,tess,0.0,1
gemma3:4b,the,0.28,75
gemma3:4b,this,0.14285714285714285,7
gemma3:4b,thoroughbred,1.0,1
gemma3:4b,though,1.0,1
gemma3:4b,timber,0.0,1
gemma3:4b,titan,0.0,1
gemma3:4b,to,0.0,2
gemma3:4b,tome,0.0,1
gemma3:4b,tooheys,0.0,1
gemma3:4b,toryboy,0.0,1
gemma3:4b,tressie,0.0,1
gemma3:4b,trim,0.0,1
gemma3:4b,uli,1.0,1
gemma3:4b,universal,0.0,1
gemma3:4b,untamed,0.0,1
gemma3:4b,van,1.0,1
gemma3:4b,w,0.0,1
gemma3:4b,wait,1.0,1
gemma3:4b,was,0.3333333333333333,3
gemma3:4b,watchers,1.0,1
gemma3:4b,were,0.5,4
gemma3:4b,weremaurice,0.0,1
gemma3:4b,what,0.35384615384615387,195
gemma3:4b,wheatley,0.0,1
gemma3:4b,when,0.6129032258064516,31
gemma3:4b,where,0.4375,16
gemma3:4b,which,0.2727272727272727,110
gemma3:4b,while,0.0,1
gemma3:4b,whitney,0.0,1
gemma3:4b,who,0.5217391304347826,69
gemma3:4b,whose,0.0,1
gemma3:4b,wolfgang,0.0,1
gemma3:4b,worker,0.0,2
gemma3:4b,xiaogan,0.0,1
gemma3:4b,yes/no,0.375,8
gemma3:4b,yoo,0.0,1
gemma3:4b,zombie,0.0,1
gemma3:4b,,0.30434782608695654,23
llama3:8b,a,0.0,2
llama3:8b,abraham,0.0,1
llama3:8b,according,0.0,1
llama3:8b,after,0.0,1
llama3:8b,air,0.0,1
llama3:8b,akira,0.0,1
llama3:8b,albert,0.0,1
llama3:8b,although,0.0,1
llama3:8b,andrew,1.0,1
llama3:8b,angel,0.0,1
llama3:8b,anthony,1.0,1
llama3:8b,are,0.044444444444444446,45
llama3:8b,arthur,0.0,1
llama3:8b,at,0.0,2
llama3:8b,ave,0.0,1
llama3:8b,b,0.0,1
llama3:8b,bayer,0.0,1
llama3:8b,before,0.0,1
llama3:8b,between,0.0,1
llama3:8b,billings,1.0,1
llama3:8b,black,0.0,1
llama3:8b,borovička,0.0,1
llama3:8b,both,0.0,2
llama3:8b,bret,0.0,1
llama3:8b,buck,0.0,1
llama3:8b,by,0.0,1
llama3:8b,campari,0.0,1
llama3:8b,can,0.0,1
llama3:8b,carpo,0.0,1
llama3:8b,celebration,0.0,1
llama3:8b,chas,0.0,1
llama3:8b,chibuku,0.0,1
llama3:8b,chocolate,0.0,1
llama3:8b,chris,0.0,1
llama3:8b,christmas,0.0,1
llama3:8b,christopher,0.0,1
llama3:8b,cinergi,1.0,1
llama3:8b,clic,0.0,1
llama3:8b,clive,1.0,1
llama3:8b,cohousing,0.0,1
llama3:8b,cole,0.0,1
llama3:8b,consider,0.0,1
llama3:8b,cyrcle,0.0,1
llama3:8b,da,1.0,1
llama3:8b,dan,1.0,1
llama3:8b,daniel,0.0,1
llama3:8b,danish,0.0,1
llama3:8b,darla,0.0,1
llama3:8b,darth,0.0,1
llama3:8b,david,0.0,2
llama3:8b,deborah,0.0,1
llama3:8b,debra,0.0,1
llama3:8b,der,0.0,2
llama3:8b,destiny,0.0,1
llama3:8b,did,0.5,2
llama3:8b,die,0.0,1
llama3:8b,do,0.0,4
llama3:8b,does,0.0,1
llama3:8b,don,0.0,1
llama3:8b,donald,0.0,1
llama3:8b,dongxing,0.0,1
llama3:8b,donna,1.0,1
llama3:8b,dua,0.0,1
llama3:8b,during,0.0,2
llama3:8b,edward,0.0,1
llama3:8b,eric,0.0,1
llama3:8b,ethan,0.0,1
llama3:8b,ettore,1.0,1
llama3:8b,euxoamorpha,0.0,1
llama3:8b,filip,0.0,1
llama3:8b,film,0.0,1
llama3:8b,for,0.0,3
llama3:8b,former,0.0,1
llama3:8b,francesco,0.0,1
llama3:8b,frank,0.0,1
llama3:8b,from,0.0,1
llama3:8b,gabriel,0.0,1
llama3:8b,gangwon,0.0,1
llama3:8b,garth,0.0,1
llama3:8b,george,0.0,3
llama3:8b,girard,0.0,1
llama3:8b,glyptotermes,0.0,1
llama3:8b,good,1.0,1
llama3:8b,guiping,0.0,1
llama3:8b,gândul,0.0,1
llama3:8b,hank,1.0,1
llama3:8b,has,0.0,1
llama3:8b,have,0.0,1
llama3:8b,he,0.0,1
llama3:8b,heaven,0.0,1
llama3:8b,henry,0.0,1
llama3:8b,hiroaki,0.0,1
llama3:8b,hiwassee,0.0,1
llama3:8b,ho,0.0,1
llama3:8b,hoosier,0.0,1
llama3:8b,how,0.36363636363636365,11
llama3:8b,hsieh,0.0,1
llama3:8b,i,0.0,1
llama3:8b,ican,0.0,1
llama3:8b,in,0.14285714285714285,42
llama3:8b,innervision,0.0,1
llama3:8b,interstate,0.0,1
llama3:8b,iqaluit,0.0,1
llama3:8b,it,0.0,1
llama3:8b,james,0.2,5
llama3:8b,jamesy,1.0,1
llama3:8b,jane,0.0,1
llama3:8b,jason,1.0,1
llama3:8b,javier,0.0,1
llama3:8b,jeremy,0.0,1
llama3:8b,jill,0.0,1
llama3:8b,jo,0.0,1
llama3:8b,joey,0.0,1
llama3:8b,john,0.0,2
llama3:8b,joie,0.0,1
llama3:8b,jordan,1.0,1
llama3:8b,josephine,0.0,1
llama3:8b,josh,0.0,1
llama3:8b,joyner,0.0,1
llama3:8b,kellas,0.0,1
llama3:8b,ken,0.0,1
llama3:8b,kevin,0.0,1
llama3:8b,kim,0.0,1
llama3:8b,knocked,0.0,1
llama3:8b,kompania,0.0,1
llama3:8b,kooikers,0.0,1
llama3:8b,kristin,0.0,1
llama3:8b,la,0.0,1
llama3:8b,lambic,0.0,1
llama3:8b,lechenaultia,0.0,1
llama3:8b,lee,0.0,1
llama3:8b,legend,0.0,1
llama3:8b,leigh,0.0,1
llama3:8b,lemon,0.0,1
llama3:8b,lenny,0.0,1
llama3:8b,lewis,0.0,1
llama3:8b,life,0.0,1
llama3:8b,louis,0.0,1
llama3:8b,love,0.0,1
llama3:8b,ludwig,1.0,1
llama3:8b,luke,0.0,1
llama3:8b,madge,0.0,1
llama3:8b,marion,0.0,1
llama3:8b,mark,0.0,2
llama3:8b,max,0.0,1
llama3:8b,merimbula,0.0,1
llama3:8b,metro,0.0,1
llama3:8b,mfon,0.0,1
llama3:8b,michael,0.0,1
llama3:8b,millet,0.0,1
llama3:8b,mills,0.0,1
llama3:8b,miracle,0.0,1
llama3:8b,mobile,0.0,1
llama3:8b,modern,0.0,1
llama3:8b,monsters,0.0,1
llama3:8b,mr,0.0,1
llama3:8b,márcio,0.0,1
llama3:8b,naked,0.0,1
llama3:8b,navarone,0.0,1
llama3:8b,new,0.0,1
llama3:8b,no,0.0,1
llama3:8b,nobody,1.0,1
llama3:8b,on,0.16666666666666666,6
llama3:8b,one,1.0,1
llama3:8b,operation,0.0,1
llama3:8b,orden,0.0,1
llama3:8b,other,0.3706896551724138,580
llama3:8b,otto,0.0,1
llama3:8b,oumar,0.0,1
llama3:8b,patrick,0.0,1
llama3:8b,pay,0.0,1
llama3:8b,pink,0.0,1
llama3:8b,plastic,0.0,1
llama3:8b,premise,0.024390243902439025,82
llama3:8b,princess,0.0,1
llama3:8b,q,0.0,1
llama3:8b,qwirkle,0.0,1
llama3:8b,radical,0.0,1
llama3:8b,rana,0.0,1
llama3:8b,rebecca,0.0,1
llama3:8b,reggio,0.0,1
llama3:8b,removed,0.0,1
llama3:8b,renée,0.0,1
llama3:8b,reuben,0.0,1
llama3:8b,richard,0.0,1
llama3:8b,robert,0.0,1
llama3:8b,robinson,0.0,1
llama3:8b,roger,0.0,1
llama3:8b,roy,1.0,1
llama3:8b,rudolf,0.0,1
llama3:8b,rugby,0.0,1
llama3:8b,río,0.0,1
llama3:8b,saint,0.0,1
llama3:8b,sam,0.0,1
llama3:8b,segugio,0.0,1
llama3:8b,serving,0.0,1
llama3:8b,shadow,0.0,1
llama3:8b,shannon,1.0,1
llama3:8b,she,0.0,1
llama3:8b,shelley,0.0,1
llama3:8b,shin,0.0,1
llama3:8b,shirley,0.0,2
llama3:8b,sidney,0.0,1
llama3:8b,skagboys,0.0,1
llama3:8b,skin,1.0,1
llama3:8b,south,0.0,1
llama3:8b,southwest,0.0,1
llama3:8b,spaceballs,0.0,1
llama3:8b,splendor,0.0,1
llama3:8b,ss,0.0,1
llama3:8b,stagger,1.0,1
llama3:8b,stephen,0.0,1
llama3:8b,steve,0.0,1
llama3:8b,still,0.0,1
llama3:8b,stomp,0.0,1
llama3:8b,stratford,0.0,1
llama3:8b,style,1.0,1
llama3:8b,sugoroku,0.0,1
llama3:8b,susan,0.0,1
llama3:8b,tammy,0.0,1
llama3:8b,tess,0.0,1
llama3:8b,the,0.10666666666666667,75
llama3:8b,this,0.14285714285714285,7
llama3:8b,thoroughbred,0.0,1
llama3:8b,though,1.0,1
llama3:8b,timber,0.0,1
llama3:8b,titan,0.0,1
llama3:8b,to,0.0,2
llama3:8b,tome,1.0,1
llama3:8b,tooheys,0.0,1
llama3:8b,toryboy,0.0,1
llama3:8b,tressie,0.0,1
llama3:8b,trim,0.0,1
llama3:8b,uli,0.0,1
llama3:8b,universal,0.0,1
llama3:8b,untamed,0.0,1
llama3:8b,van,0.0,1
llama3:8b,w,0.0,1
llama3:8b,wait,1.0,1
llama3:8b,was,0.0,3
llama3:8b,watchers,0.0,1
llama3:8b,were,0.25,4
llama3:8b,weremaurice,0.0,1
llama3:8b,what,0.1076923076923077,195
llama3:8b,wheatley,0.0,1
llama3:8b,when,0.12903225806451613,31
llama3:8b,where,0.125,16
llama3:8b,which,0.12727272727272726,110
llama3:8b,while,0.0,1
llama3:8b,whitney,0.0,1
llama3:8b,who,0.17391304347826086,69
llama3:8b,whose,0.0,1
llama3:8b,wolfgang,0.0,1
llama3:8b,worker,0.0,2
llama3:8b,xiaogan,0.0,1
llama3:8b,yes/no,0.375,8
llama3:8b,yoo,0.0,1
llama3:8b,zombie,0.0,1
llama3:8b,,0.0,23
mistral0.2:7b,a,0.0,2
mistral0.2:7b,abraham,0.0,1
